Datum,Niederschlag,Month,Niederschlag_Lag_1,Niederschlag_Lag_2,Niederschlag_Lag_3,Niederschlag_Lag_7,Niederschlag_Rolling_Mean_3d,Niederschlag_Rolling_Sum_3d,Niederschlag_Rolling_Mean_7d,Niederschlag_Rolling_Sum_7d,Niederschlag_Rolling_Mean_14d,Niederschlag_Rolling_Sum_14d,Has_Rain,Heavy_Rain_Day,Year,DayOfWeek,IsWeekend,Rain_Category_Extreme_Rain,Rain_Category_Heavy_Rain,Rain_Category_Light_Rain,Rain_Category_Moderate_Rain,Rain_Category_No_Rain,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2018-02-19,0.0,2,0.0,0.0,0.1,6.2,0.0,0.0,0.1714285714285712,1.1999999999999984,0.8785714285714291,12.300000000000008,0,0,2018,0,0,False,False,False,False,True,False,False,False,True
2018-02-20,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714285712,1.1999999999999984,0.8785714285714291,12.300000000000008,0,0,2018,1,0,False,False,False,False,True,False,False,False,True
2018-02-21,1.1,2,0.0,0.0,0.0,0.0,0.3666666666666691,1.1000000000000072,0.32857142857142835,2.2999999999999985,0.9571428571428576,13.400000000000007,1,0,2018,2,0,False,False,True,False,False,False,False,False,True
2018-02-22,0.3,2,1.1,0.0,0.0,1.1,0.46666666666666906,1.4000000000000072,0.21428571428571405,1.4999999999999984,0.9785714285714292,13.700000000000008,1,0,2018,3,0,False,False,True,False,False,False,False,False,True
2018-02-23,0.0,2,0.3,1.1,0.0,0.1,0.46666666666666906,1.4000000000000072,0.19999999999999976,1.3999999999999984,0.9785714285714292,13.700000000000008,0,0,2018,4,0,False,False,False,False,True,False,False,False,True
2018-02-24,0.9,2,0.0,0.3,1.1,0.0,0.40000000000000235,1.200000000000007,0.3285714285714283,2.299999999999998,1.0428571428571434,14.600000000000009,1,0,2018,5,1,False,False,True,False,False,False,False,False,True
2018-02-25,0.0,2,0.9,0.0,0.3,0.0,0.3000000000000023,0.900000000000007,0.3285714285714283,2.299999999999998,0.6928571428571434,9.700000000000008,0,0,2018,6,1,False,False,False,False,True,False,False,False,True
2018-02-26,0.0,2,0.0,0.9,0.0,0.0,0.3000000000000023,0.900000000000007,0.3285714285714283,2.299999999999998,0.2500000000000005,3.500000000000007,0,0,2018,0,0,False,False,False,False,True,False,False,False,True
2018-02-27,0.2,2,0.0,0.0,0.9,0.0,0.06666666666666904,0.20000000000000712,0.3571428571428569,2.4999999999999982,0.2642857142857148,3.7000000000000073,1,0,2018,1,0,False,False,True,False,False,False,False,False,True
2018-02-28,0.0,2,0.2,0.0,0.0,1.1,0.06666666666666904,0.20000000000000712,0.19999999999999973,1.3999999999999981,0.2642857142857148,3.7000000000000073,0,0,2018,2,0,False,False,False,False,True,False,False,False,True
2018-03-01,0.3,3,0.0,0.2,0.0,0.3,0.16666666666666904,0.5000000000000071,0.19999999999999973,1.3999999999999981,0.20714285714285768,2.9000000000000075,1,0,2018,3,0,False,False,True,False,False,False,True,False,False
2018-03-02,0.5,3,0.3,0.0,0.2,0.0,0.26666666666666905,0.8000000000000071,0.2714285714285712,1.8999999999999981,0.2357142857142862,3.300000000000007,1,0,2018,4,0,False,False,True,False,False,False,True,False,False
